benh,trieu_chung
Cảm cúm,sốt;ho;đau đầu;mệt mỏi;đau cơ;sổ mũi;nghẹt mũi;ớn lạnh;đổ mồ hôi
Cảm lạnh,sổ mũi;nghẹt mũi;hắt hơi;ho nhẹ;đau họng;mệt mỏi nhẹ
Viêm họng,đau họng;khó nuốt;sốt nhẹ;sưng hạch;khàn tiếng;ho khan
Viêm amidan,đau họng;sốt cao;khó nuốt;sưng amidan;mệt mỏi;hôi miệng
Viêm phổi,ho có đờm;sốt cao;khó thở;đau ngực;mệt mỏi;thở nhanh;run rẩy
Viêm phế quản,ho dai dẳng;khó thở;đau ngực;có đờm;khò khè;sốt nhẹ
Viêm phế quản mạn tính,ho kéo dài;khó thở;đờm nhiều;khò khè;mệt mỏi;giảm khả năng vận động
Sốt xuất huyết,sốt cao;đau đầu;đau cơ;buồn nôn;nổi ban;chảy máu cam;đau sau hốc mắt;xuất huyết dưới da
Sốt rét,sốt cao;rét run;đổ mồ hôi;đau đầu;buồn nôn;mệt mỏi;vàng da;lách to
Sốt phát ban,sốt cao;phát ban;đau đầu;đau cơ;mệt mỏi;chán ăn
Viêm gan A,mệt mỏi;buồn nôn;nôn;đau bụng;vàng da;sốt nhẹ;nước tiểu sẫm màu;phân nhạt màu
Viêm gan B,mệt mỏi;vàng da;đau bụng;buồn nôn;sốt nhẹ;nước tiểu sẫm màu;đau khớp;phát ban
Viêm gan C,mệt mỏi mạn tính;vàng da;đau bụng;buồn nôn;sốt nhẹ;ngứa da
Xơ gan,vàng da;bụng to;phù chân;mệt mỏi;chảy máu dễ dàng;giảm cân;buồn nôn
Tiêu chảy cấp,đi ngoài lỏng;đau bụng;buồn nôn;sốt nhẹ;mất nước;yếu
Tiêu chảy mạn tính,đi ngoài lỏng kéo dài;đau bụng;mệt mỏi;giảm cân;chướng bụng
Nhiễm khuẩn đường ruột,đau bụng;tiêu chảy;nôn;sốt;đầy hơi;đi ngoài ra máu
Ngộ độc thực phẩm,nôn;tiêu chảy;đau bụng;sốt;đau đầu;yếu
